Timestamp,hová?,melyik napra? ,hány órától?,mennyi időre? (órában),hány fok?
23/09/2024 19:08:08,ovi,23/09/2024,1,12,12
23/09/2024 19:28:57,Mérce,25/09/2024,10,10,10
23/09/2024 19:40:10,Oktopusz 1,05/09/2024,1,1,1
23/09/2024 21:58:29,ovi,05/09/2024,12,12,12
23/09/2024 22:08:43,ovi,20/09/2024,1,1,1
05/10/2024 18:15:22,SZGK iroda,05/10/2024,18,10,19
05/10/2024 18:18:34,Gólyafészek,05/10/2024,20,2,20
14/10/2024 17:28:42,SZGK,14/10/2024,17,1,21
14/10/2024 18:17:06,Oktopusz,14/10/2024,0,168,16
14/10/2024 18:23:17,SZGK,14/10/2024,18,1,23
14/10/2024 18:26:50,SZGK,14/10/2024,18,1,16
14/10/2024 18:29:00,SZGK,14/10/2024,18,1,16
14/10/2024 18:36:30,Gólyairoda,14/10/2024,18,1,16
14/10/2024 21:46:27,SZGK,14/10/2024,21,1,20
14/10/2024 22:24:14,Gólyairoda,14/10/2024,22,1,20
14/10/2024 22:26:11,Gólyairoda,14/10/2024,22,1,16
