Timestamp,hová?,melyik napra?,hány órától?,mennyi időre? (órában),hány fok?
26/10/2024 14:51:14,SZGK,26/10/2024,14,9,21
26/10/2024 17:25:56,Lahmacun,26/10/2024,17,7,16
29/10/2024 08:00:20,Gólyafészek,29/10/2024,8,10,21
29/10/2024 09:12:50,Gólyafészek,29/10/2024,9,9,21
29/10/2024 12:41:17,Gólyafészek,29/10/2024,12,11,16
30/10/2024 08:52:33,Gólyafészek,30/10/2024,8,9,21
30/10/2024 15:40:45,Gólyafészek,30/10/2024,15,8,16
30/10/2024 18:04:39,Gólyafészek,30/10/2024,18,6,21
30/10/2024 19:58:44,Gólyafészek,30/10/2024,19,4,16
04/11/2024 16:27:47,SZGK,04/11/2024,16,2,21
05/11/2024 17:16:19,PK,05/11/2024,17,7,16
05/11/2024 22:31:28,Gólyairoda,05/11/2024,22,1,21
06/11/2024 16:51:12,Gólyairoda,06/11/2024,16,7,16
07/11/2024 11:44:04,SZGK,07/11/2024,11,6,21
09/11/2024 14:31:58,SZGK,09/11/2024,14,3,21
09/11/2024 16:37:38,SZGK,09/11/2024,16,7,21
09/11/2024 17:19:56,Gólyafészek,09/11/2024,17,7,21
11/11/2024 08:36:37,SZGK,11/11/2024,8,9,21
12/11/2024 11:06:07,Lahmacun,12/11/2024,11,7,21
16/11/2024 18:25:45,Gólyafészek,16/11/2024,18,6,16
18/11/2024 19:33:27,Gólyairoda,18/11/2024,19,4,21
23/11/2024 22:17:15,Oktopusz,23/11/2024,22,2,21
26/11/2024 21:03:31,Lahmacun,26/11/2024,21,3,21
27/11/2024 21:40:02,Oktopusz,27/11/2024,21,2,21
02/12/2024 14:34:49,Oktopusz,02/12/2024,14,9,21
02/12/2024 21:10:37,SZGK,02/12/2024,21,3,16
07/12/2024 12:00:46,M閞ce,07/12/2024,12,6,21
07/12/2024 12:09:46,M閞ce,07/12/2024,12,6,21
08/12/2024 14:31:27,M閞ce,08/12/2024,14,3,21
12/12/2024 14:43:39,Oktopusz,12/12/2024,14,9,16
12/12/2024 17:45:08,PK,12/12/2024,17,6,21
12/12/2024 20:24:41,PK,12/12/2024,20,4,16
13/12/2024 10:05:35,Oktopusz,13/12/2024,10,14,21
13/12/2024 17:50:05,Oktopusz,13/12/2024,17,6,16
15/12/2024 18:15:32,Lahmacun,15/12/2024,18,6,21
15/12/2024 19:28:11,Oktopusz,15/12/2024,19,5,21
15/12/2024 20:27:19,Lahmacun,15/12/2024,20,4,16
15/12/2024 22:08:44,Oktopusz,15/12/2024,22,2,21
16/12/2024 14:09:51,Oktopusz,16/12/2024,14,4,21
16/12/2024 22:34:30,Oktopusz,16/12/2024,22,1,21
18/12/2024 21:00:28,Oktopusz,18/12/2024,21,3,21
18/12/2024 21:00:28,Oktopusz,18/12/2024,21,3,21
19/12/2024 12:01:17,Oktopusz,19/12/2024,12,12,21
23/12/2024 14:48:16,kisterem,23/12/2024,14,3,21
23/12/2024 05:48:20,kisterem,23/12/2024,5,12,21
