,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap
0,18,16,16,16,19,19,19
1,16,16,16,16,16,19,16
2,16,16,16,16,16,19,16
3,16,16,16,16,16,16,16
4,16,16,16,16,16,16,16
5,16,16,16,16,16,16,16
6,16,16,16,16,16,16,16
7,16,16,16,16,16,16,16
8,16,16,16,16,16,16,16
9,16,16,16,16,16,16,16
10,16,16,16,16,16,16,16
11,16,16,16,16,16,16,16
12,16,16,16,16,16,16,16
13,16,16,16,16,16,16,16
14,16,16,16,16,16,16,16
15,18,18,18,18,18,18,18
16,19,19,19,19,19,19,19
17,19,19,19,19,19,19,19
18,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19
20,19,19,19,19,19,19,19
21,19,19,19,19,19,19,19
22,19,19,19,19,19,19,19
23,16,16,16,19,19,19,16
