timestamp,temp,humidity,wind speed,coco
2024-07-27-00-00-00,19.6,62,5.5,2
2024-07-27-01-00-00,18.8,65,5.5,1
2024-07-27-02-00-00,18.3,66,5.5,1
2024-07-27-03-00-00,17.4,69,7.4,1
2024-07-27-04-00-00,17.1,71,5.5,2
2024-07-27-05-00-00,16.8,72,7.4,2
2024-07-27-06-00-00,17.4,72,7.4,2
2024-07-27-07-00-00,18.9,67,7.4,2
2024-07-27-08-00-00,20.9,60,7.4,2
2024-07-27-09-00-00,23.2,52,7.4,2
2024-07-27-10-00-00,24.9,47,7.4,2
2024-07-27-11-00-00,27.0,41,9.3,2
2024-07-27-12-00-00,28.7,37,11.1,2
2024-07-27-13-00-00,29.8,34,13.0,2
2024-07-27-14-00-00,30.7,33,13.0,2
2024-07-27-15-00-00,31.4,31,14.8,2
2024-07-27-16-00-00,31.8,31,16.7,2
2024-07-27-17-00-00,32.1,30,16.7,2
2024-07-27-18-00-00,32.1,31,13.0,2
2024-07-27-19-00-00,31.0,34,13.0,2
2024-07-27-20-00-00,29.1,38,9.3,2
2024-07-27-21-00-00,27.1,45,7.4,2
2024-07-27-22-00-00,25.2,51,7.4,2
2024-07-27-23-00-00,23.6,56,5.5,2
2024-07-28-00-00-00,22.4,62,3.7,1
2024-07-28-01-00-00,21.8,63,5.5,1
2024-07-28-02-00-00,21.1,64,7.4,1
2024-07-28-03-00-00,20.2,67,7.4,1
2024-07-28-04-00-00,19.7,67,7.4,1
2024-07-28-05-00-00,19.3,69,7.4,1
2024-07-28-06-00-00,18.8,70,7.4,1
2024-07-28-07-00-00,20.9,61,7.4,1
2024-07-28-08-00-00,23.2,54,7.4,1
2024-07-28-09-00-00,24.6,50,7.4,1
2024-07-28-10-00-00,27.0,44,7.4,1
2024-07-28-11-00-00,28.8,40,9.3,2
2024-07-28-12-00-00,29.6,38,13.0,2
2024-07-28-13-00-00,30.6,37,14.8,2
2024-07-28-14-00-00,31.2,37,16.7,2
2024-07-28-15-00-00,31.1,39,18.5,2
2024-07-28-16-00-00,31.1,40,20.4,2
2024-07-28-17-00-00,30.0,42,20.4,2
2024-07-28-18-00-00,29.9,43,22.2,3
2024-07-28-19-00-00,28.8,45,20.4,3
2024-07-28-20-00-00,27.1,47,18.5,3
2024-07-28-21-00-00,25.6,51,16.7,2
2024-07-28-22-00-00,24.3,53,14.8,2
2024-07-28-23-00-00,23.3,55,13.0,2
2024-07-29-00-00-00,21.3,64,11.1,2
2024-07-29-01-00-00,20.8,63,11.1,2
2024-07-29-02-00-00,20.1,63,11.1,1
2024-07-29-03-00-00,19.5,62,9.3,1
2024-07-29-04-00-00,18.9,63,9.3,1
2024-07-29-05-00-00,18.4,64,7.4,1
2024-07-29-06-00-00,17.4,69,7.4,2
2024-07-29-07-00-00,19.4,60,9.3,2
2024-07-29-08-00-00,21.2,52,11.1,2
2024-07-29-09-00-00,22.1,47,13.0,2
2024-07-29-10-00-00,23.4,42,14.8,2
2024-07-29-11-00-00,24.4,39,18.5,2
2024-07-29-12-00-00,25.0,36,20.4,2
2024-07-29-13-00-00,25.7,34,20.4,2
2024-07-29-14-00-00,26.6,31,20.4,2
2024-07-29-15-00-00,27.1,30,22.2,2
2024-07-29-16-00-00,27.6,29,22.2,2
2024-07-29-17-00-00,27.7,27,22.2,2
2024-07-29-18-00-00,27.0,29,20.4,2
2024-07-29-19-00-00,26.5,29,18.5,2
2024-07-29-20-00-00,25.3,32,16.7,2
2024-07-29-21-00-00,23.6,36,13.0,2
2024-07-29-22-00-00,22.0,41,11.1,1
2024-07-29-23-00-00,20.8,45,7.4,1
2024-07-30-00-00-00,19.6,49,7.4,1
2024-07-30-01-00-00,19.0,50,5.5,1
2024-07-30-02-00-00,17.8,53,5.5,1
2024-07-30-03-00-00,17.2,54,5.5,1
2024-07-30-04-00-00,16.5,56,5.5,1
2024-07-30-05-00-00,16.0,59,5.5,1
2024-07-30-06-00-00,15.1,64,3.7,1
2024-07-30-07-00-00,17.2,57,5.5,1
2024-07-30-08-00-00,19.4,50,5.5,1
2024-07-30-09-00-00,20.5,47,5.5,1
2024-07-30-10-00-00,22.3,42,7.4,2
2024-07-30-11-00-00,23.7,38,7.4,2
2024-07-30-12-00-00,24.5,36,9.3,2
2024-07-30-13-00-00,25.4,34,9.3,2
2024-07-30-14-00-00,26.5,31,9.3,2
2024-07-30-15-00-00,27.3,29,9.3,2
2024-07-30-16-00-00,28.0,28,9.3,2
2024-07-30-17-00-00,28.1,27,9.3,2
2024-07-30-18-00-00,28.3,27,9.3,2
2024-07-30-19-00-00,27.5,29,9.3,2
2024-07-30-20-00-00,25.6,34,7.4,1
2024-07-30-21-00-00,23.7,40,5.5,1
2024-07-30-22-00-00,21.7,46,5.5,1
2024-07-30-23-00-00,20.2,52,3.7,1
2024-07-31-00-00-00,18.8,59,3.7,1
2024-07-31-01-00-00,18.2,60,3.7,1
2024-07-31-02-00-00,17.2,63,3.7,1
2024-07-31-03-00-00,16.3,65,3.7,1
2024-07-31-04-00-00,15.9,65,5.5,1
2024-07-31-05-00-00,15.6,67,3.7,1
2024-07-31-06-00-00,15.9,67,5.5,1
2024-07-31-07-00-00,17.6,63,5.5,1
2024-07-31-08-00-00,19.7,56,5.5,1
2024-07-31-09-00-00,22.2,48,5.5,2
2024-07-31-10-00-00,24.1,42,5.5,2
2024-07-31-11-00-00,26.1,37,7.4,2
2024-07-31-12-00-00,27.1,33,7.4,2
2024-07-31-13-00-00,28.2,31,9.3,2
2024-07-31-14-00-00,29.2,28,9.3,2
2024-07-31-15-00-00,30.1,27,9.3,2
2024-07-31-16-00-00,30.7,25,9.3,2
2024-07-31-17-00-00,30.7,25,9.3,2
2024-07-31-18-00-00,31.2,25,7.4,2
2024-07-31-19-00-00,30.2,27,9.3,2
2024-07-31-20-00-00,28.4,31,7.4,2
2024-07-31-21-00-00,26.4,36,5.5,2
2024-07-31-22-00-00,24.3,42,3.7,2
2024-07-31-23-00-00,22.8,48,3.7,1
2024-08-01-00-00-00,21.4,55,3.7,1
2024-08-01-01-00-00,20.8,56,5.5,1
2024-08-01-02-00-00,20.0,58,5.5,1
2024-08-01-03-00-00,18.9,61,5.5,1
2024-08-01-04-00-00,18.5,61,5.5,1
2024-08-01-05-00-00,18.3,62,5.5,1
2024-08-01-06-00-00,17.6,63,7.4,2
2024-08-01-07-00-00,19.7,56,7.4,2
2024-08-01-08-00-00,22.0,51,7.4,2
2024-08-01-09-00-00,23.3,47,7.4,2
2024-08-01-10-00-00,25.6,41,7.4,3
2024-08-01-11-00-00,27.6,37,9.3,3
2024-08-01-12-00-00,27.6,37,9.3,4
2024-08-01-13-00-00,28.3,35,11.1,3
2024-08-01-14-00-00,29.1,34,9.3,3
2024-08-01-15-00-00,29.2,34,11.1,3
2024-08-01-16-00-00,29.6,33,11.1,3
2024-08-01-17-00-00,29.8,33,9.3,3
2024-08-01-18-00-00,29.3,37,7.4,3
2024-08-01-19-00-00,28.6,38,9.3,3
2024-08-01-20-00-00,27.7,42,7.4,3
2024-08-01-21-00-00,26.5,46,7.4,3
2024-08-01-22-00-00,25.0,51,5.5,3
2024-08-01-23-00-00,23.9,56,5.5,3
2024-08-02-00-00-00,21.9,66,5.5,2
2024-08-02-01-00-00,21.6,67,7.4,2
2024-08-02-02-00-00,21.2,68,5.5,2
2024-08-02-03-00-00,20.5,70,5.5,2
2024-08-02-04-00-00,20.3,71,5.5,2
2024-08-02-05-00-00,20.1,73,5.5,2
2024-08-02-06-00-00,19.7,76,5.5,3
2024-08-02-07-00-00,21.4,69,5.5,3
2024-08-02-08-00-00,23.1,63,7.4,3
2024-08-02-09-00-00,23.9,61,7.4,3
2024-08-02-10-00-00,24.8,59,11.1,3
2024-08-02-11-00-00,25.6,58,11.1,3
2024-08-02-12-00-00,26.4,55,13.0,3
2024-08-02-13-00-00,27.2,53,13.0,3
2024-08-02-14-00-00,27.8,51,14.8,3
2024-08-02-15-00-00,28.4,48,14.8,3
2024-08-02-16-00-00,28.6,48,14.8,3
2024-08-02-17-00-00,28.3,49,16.7,3
2024-08-02-18-00-00,25.3,66,11.1,3
2024-08-02-19-00-00,24.8,69,11.1,3
2024-08-02-20-00-00,24.3,71,9.3,3
2024-08-02-21-00-00,23.4,74,9.3,3
2024-08-02-22-00-00,22.7,77,9.3,3
2024-08-02-23-00-00,22.2,77,11.1,3
2024-08-03-00-00-00,21.3,84,13.0,3
2024-08-03-01-00-00,21.0,83,14.8,3
2024-08-03-02-00-00,20.6,80,16.7,2
2024-08-03-03-00-00,20.0,79,20.4,2
2024-08-03-04-00-00,19.6,78,22.2,2
2024-08-03-05-00-00,19.2,77,24.1,2
2024-08-03-06-00-00,19.0,77,22.2,3
2024-08-03-07-00-00,19.2,74,22.2,2
2024-08-03-08-00-00,19.7,71,24.1,2
2024-08-03-09-00-00,19.9,68,25.9,2
2024-08-03-10-00-00,20.9,63,27.8,2
2024-08-03-11-00-00,21.8,59,27.8,2
2024-08-03-12-00-00,22.4,57,31.5,3
2024-08-03-13-00-00,23.3,54,31.5,3
2024-08-03-14-00-00,24.1,50,29.6,2
2024-08-03-15-00-00,24.3,47,29.6,2
2024-08-03-16-00-00,24.8,45,29.6,2
2024-08-03-17-00-00,24.6,44,27.8,2
2024-08-03-18-00-00,24.7,42,25.9,2
2024-08-03-19-00-00,24.0,43,22.2,2
2024-08-03-20-00-00,22.8,47,16.7,2
2024-08-03-21-00-00,21.3,52,13.0,2
2024-08-03-22-00-00,20.0,57,9.3,2
2024-08-03-23-00-00,19.0,61,5.5,2
2024-08-04-00-00-00,17.8,68,5.5,2
2024-08-04-01-00-00,17.0,71,5.5,2
2024-08-04-02-00-00,16.4,73,5.5,2
2024-08-04-03-00-00,15.7,76,3.7,1
2024-08-04-04-00-00,15.3,78,3.7,1
2024-08-04-05-00-00,15.0,81,3.7,2
