time,command
2023-10-17-00-21-10,1
2023-10-17-00-25-10,1
2023-10-17-00-27-11,1
2023-10-17-00-30-12,0
2023-10-17-00-31-12,1
2023-10-17-00-32-14,0
2023-10-17-00-37-11,1
2023-10-17-00-38-10,0
2023-10-20-21-02-11,1
2023-10-20-21-04-06,0
2023-10-20-21-05-06,1
2023-10-20-21-06-06,0
2023-10-20-21-07-06,1
2023-10-20-21-08-06,0
2023-10-20-21-10-07,1
2023-10-20-21-11-07,0
2023-10-24-21-40-07,1
2023-10-24-22-19-08,0
2023-10-24-22-24-08,1
2023-10-24-22-43-08,0
2023-10-24-23-20-07,1
2023-10-24-23-21-08,1
2023-10-25-00-07-07,0
2023-10-25-07-00-27,1
2023-10-25-17-42-00,1
2023-10-25-19-50-00,1
2023-10-25-20-21-00,1
2023-10-25-20-30-10,0
2023-10-26-07-00-09,1
2023-10-26-19-00-09,0
2023-10-27-07-00-11,1
2023-10-27-11-00-10,0
2023-10-30-07-03-09,1
2023-10-30-07-50-00,0
2023-10-31-17-30-09,1
2023-10-31-20-11-09,1
2023-10-31-20-12-07,1
2023-10-31-20-13-07,1
2023-10-31-20-14-09,1
2023-10-31-20-15-07,1
2023-10-31-20-16-07,1
2023-10-31-20-47-01,1
2023-10-31-21-00-11,0
2023-11-01-07-00-10,1
2023-11-01-08-29-00,1
2023-11-01-08-50-00,1
2023-11-01-10-15-00,0
2023-11-01-10-40-01,1
2023-11-01-10-45-00,0
2023-11-01-17-30-13,1
2023-11-01-19-00-16,0
2023-11-02-07-00-12,1
2023-11-02-11-15-00,0
2023-11-03-12-32-09,1
2023-11-03-12-35-00,1
2023-11-03-12-37-01,1
2023-11-03-12-45-00,0
2023-11-03-12-55-00,1
2023-11-03-23-00-14,0
2023-11-06-00-12-01,1
2023-11-06-00-20-11,0
2023-11-06-04-00-09,1
2023-11-06-05-59-00,1
2023-11-06-09-06-00,1
2023-11-06-09-30-12,0
2023-11-06-16-11-00,1
2023-11-06-16-20-09,1
2023-11-06-17-36-35,1
2023-11-06-19-26-02,1
2023-11-06-19-45-02,1
2023-11-06-22-22-30,0
2023-11-06-23-30-30,1
2023-11-06-23-33-02,1
2023-11-06-23-38-31,0
2023-11-07-07-00-02,1
2023-11-07-10-35-32,1
2023-11-07-12-40-02,0
2023-11-07-16-30-06,1
2023-11-07-16-39-01,0
2023-11-07-16-45-02,1
2023-11-07-16-56-03,1
2023-11-07-18-25-31,1
2023-11-07-18-44-31,0
2023-11-07-18-49-31,1
2023-11-07-19-00-06,0
2023-11-07-19-12-30,1
2023-11-07-19-14-02,0
2023-11-08-08-07-01,1
2023-11-08-09-38-30,0
2023-11-08-10-00-06,1
2023-11-08-10-16-31,0
2023-11-08-22-02-31,1
2023-11-08-22-08-32,1
2023-11-08-22-18-04,1
2023-11-08-22-20-32,1
2023-11-08-22-31-06,1
2023-11-08-22-33-00,0
2023-11-08-22-38-03,1
2023-11-08-22-39-01,0
2023-11-08-22-39-31,1
2023-11-08-22-40-30,0
2023-11-08-22-43-31,1
2023-11-08-22-45-01,0
2023-11-09-04-50-04,1
2023-11-09-04-50-31,0
2023-11-09-04-54-02,1
2023-11-09-04-54-30,0
2023-11-09-04-55-03,1
2023-11-09-04-56-01,0
2023-11-09-04-56-31,1
2023-11-09-04-58-02,0
2023-11-09-04-59-02,1
2023-11-09-05-40-31,0
2023-11-09-05-41-02,1
2023-11-09-05-55-02,0
2023-11-09-06-54-31,1
2023-11-09-07-13-01,0
2023-11-09-08-13-01,1
2023-11-09-09-13-30,0
2023-11-09-10-06-31,1
2023-11-09-10-28-00,0
2023-11-09-10-28-31,1
2023-11-09-10-29-01,0
2023-11-09-10-30-00,1
2023-11-09-10-30-31,0
2023-11-09-10-36-00,1
2023-11-09-10-36-31,0
2023-11-09-10-42-03,1
2023-11-09-11-03-01,0
2023-11-09-12-15-31,1
2023-11-09-12-16-31,0
2023-11-09-12-18-01,1
2023-11-09-12-55-31,0
2023-11-09-13-19-31,1
2023-11-09-13-20-30,0
2023-11-09-13-22-31,1
2023-11-09-13-36-00,0
2023-11-09-14-32-01,1
2023-11-09-14-50-00,0
2023-11-09-14-50-31,1
2023-11-09-14-51-01,0
2023-11-09-14-54-31,1
2023-11-09-14-55-01,0
2023-11-09-14-59-01,1
2023-11-09-14-59-30,0
2023-11-09-15-03-01,1
2023-11-09-15-03-31,0
2023-11-09-15-07-31,1
2023-11-09-15-08-00,0
2023-11-09-15-11-31,1
2023-11-09-15-12-01,0
2023-11-09-15-16-01,1
2023-11-09-15-16-31,0
2023-11-09-15-21-00,1
2023-11-09-15-21-31,0
2023-11-09-15-25-31,1
2023-11-09-15-26-00,0
2023-11-09-15-32-00,1
2023-11-09-15-32-31,0
2023-11-09-15-40-01,1
2023-11-09-15-40-30,0
2023-11-09-23-15-30,1
2023-11-09-23-17-32,1
2023-11-09-23-21-04,1
2023-11-09-23-23-30,0
2023-11-10-06-24-01,1
2023-11-10-06-24-31,0
2023-11-10-06-30-01,1
