time,pump,command
2023-10-16-23-08-14,1,1
2023-10-16-23-08-19,2,0
2023-10-16-23-09-13,1,1
2023-10-16-23-09-18,2,0
2023-10-16-23-10-12,1,1
2023-10-16-23-10-17,2,0
2023-10-17-00-09-12,2,1
2023-10-17-00-21-15,2,0
2023-10-17-00-30-12,2,1
2023-10-17-00-31-17,2,0
2023-10-17-00-32-14,2,1
2023-10-17-00-37-16,2,0
2023-10-17-00-09-17,1,0
2023-10-17-00-38-10,2,1
2023-10-20-21-02-11,1,1
2023-10-24-21-43-07,3,1
2023-10-24-21-43-07,4,1
2023-10-20-21-09-06,1,0
2023-10-20-21-08-06,2,0
2023-10-25-00-22-07,3,0
2023-10-25-00-22-07,4,0
2023-10-25-08-00-10,3,1
2023-10-25-08-00-10,4,1
2023-10-25-07-00-27,1,1
2023-10-25-07-00-27,2,1
2023-10-25-20-33-10,1,0
2023-10-25-20-33-10,2,0
2023-10-25-20-37-00,1,0
2023-10-25-20-37-00,2,0
2023-10-26-07-00-09,1,1
2023-10-26-16-43-00,1,0
2023-10-26-07-00-09,2,1
2023-10-26-19-03-09,2,0
2023-10-26-17-03-08,1,0
2023-10-26-19-23-00,2,0
2023-10-27-07-00-11,2,1
2023-10-27-10-03-10,2,0
2023-10-27-07-00-11,1,1
2023-10-27-11-03-10,1,0
2023-10-27-11-23-00,1,0
2023-10-27-10-23-00,2,0
2023-10-30-07-03-09,1,1
2023-10-30-07-03-09,2,1
2023-10-30-07-53-00,1,0
2023-10-30-07-53-00,2,0
2023-10-30-08-03-09,1,0
2023-10-30-08-03-09,2,0
2023-10-31-17-30-09,1,1
2023-10-31-17-30-09,2,1
2023-10-31-21-03-11,2,0
2023-10-31-20-53-00,1,0
2023-10-31-21-07-00,2,0
2023-11-01-07-00-10,1,1
2023-11-01-07-00-10,2,1
2023-11-01-10-18-00,1,0
2023-11-01-10-18-00,2,0
2023-11-01-10-40-01,1,1
2023-11-01-10-40-01,2,1
2023-11-01-10-48-00,1,0
2023-11-01-10-48-00,2,0
2023-11-01-17-30-13,1,1
2023-11-01-17-30-13,2,1
2023-11-01-19-03-16,1,0
2023-11-01-19-03-16,2,0
2023-11-02-07-00-12,1,1
2023-11-02-07-00-12,2,1
2023-11-02-11-18-00,1,0
2023-11-02-11-18-00,2,0
2023-11-03-12-40-00,1,1
2023-11-03-12-40-00,2,1
2023-11-03-12-48-00,1,0
2023-11-03-12-48-00,2,0
2023-11-03-12-55-00,2,1
2023-11-03-12-55-00,1,1
2023-11-03-23-03-14,1,0
2023-11-06-00-15-11,1,1
2023-11-06-00-23-11,1,0
2023-11-03-19-03-13,2,0
2023-11-06-04-00-09,1,1
2023-11-06-05-00-11,2,1
2023-11-06-09-33-12,1,0
